1,2001-08-06,313
314,2002-09-15,165
479,2004-08-14,7
486,2006-03-08,20
506,2006-04-20,155
661,2005-02-24,61
722,2003-03-25,989
1711,2002-12-06,271
1982,2006-07-07,8
1990,2005-01-03,155
2145,2004-10-20,283
2428,2002-11-21,938
3366,2005-06-14,204
3570,2003-07-15,296
3866,2002-11-19,1348
5214,2004-10-18,184
5398,2002-09-12,282
5680,2004-08-13,62
5742,2006-04-18,238
5980,2001-08-01,132
6112,2005-06-13,221
6333,2003-07-12,148
6481,2005-01-04,417
6898,2004-10-27,281
7179,2002-11-26,1198
8377,2005-02-23,348
8725,2003-03-22,228
8953,2002-12-01,859
9812,2006-04-27,91
9903,2006-03-30,609
10512,2002-12-08,783
11295,2002-09-24,310
11605,2001-10-03,394
11999,2003-07-24,502
12501,2005-06-25,206
12707,2002-11-10,442
13149,2004-10-11,517
13666,2006-04-11,26
13692,2006-03-06,159
13851,2003-04-03,522
14373,2005-05-02,130
14503,2001-08-08,826
15329,2003-03-14,294
15623,2005-02-15,524
16147,2006-04-29,4
16151,2002-09-23,567
16718,2001-08-30,1297
18015,2004-10-29,58
18073,2002-11-28,438
18511,2003-03-13,445
18956,2002-12-30,657
19613,2005-02-12,222
19835,2003-04-04,140
19975,2005-05-05,21
19996,2006-03-01,63
20059,2006-04-16,3
20062,2002-11-17,1033
21095,2004-10-16,1
21096,2003-07-23,171
21267,2005-06-22,70
21337,2001-10-04,1100
22437,2006-07-31,141
22578,2002-01-17,607
23185,2004-07-01,171
23356,2005-12-12,6
23362,2004-03-31,404
23766,2004-04-26,229
23995,2002-05-27,204
24199,2002-01-28,1611
25810,2002-05-18,143
25953,2004-04-19,286
26239,2005-09-01,12
26251,2004-04-21,345
26596,2002-05-20,678
27274,2005-12-15,4
27278,2004-07-06,195
27473,2002-06-07,1264
28737,2002-01-10,1514
30251,2003-08-07,273
30524,2005-09-06,42
30566,2002-02-08,370
30936,2006-08-15,27
30963,2004-03-09,34
30997,2002-05-16,255
31252,2004-04-17,5
31257,2002-02-01,1025
32282,2005-12-23,20
32302,2001-07-22,105
32407,2004-07-30,368
32775,2003-10-05,759
33534,2002-01-26,108
33642,2005-11-04,73
33715,2004-04-28,364
34079,2002-05-29,1426
35505,2005-09-30,27
35532,2003-08-31,24
35556,2002-01-19,700
36256,2003-10-02,428
36684,2002-01-21,850
37534,2005-11-03,59
37593,2001-07-25,542
38135,2002-02-06,330
38465,2005-12-24,4
38469,2004-03-07,355
38824,2002-05-11,818
39642,2004-04-10,180
39822,2003-08-09,351
40173,2005-09-08,17
40190,2004-07-08,265
40455,2002-06-09,293
40748,2004-10-28,308
41056,2002-11-29,572
41628,2004-08-23,16
41644,2002-09-22,264
41908,2006-04-28,16
41924,2001-08-31,275
42199,2003-07-22,125
42324,2005-06-23,217
42541,2002-11-16,882
43423,2004-10-17,15
43438,2006-07-30,7
43445,2001-10-05,298
43743,2003-04-05,360
44103,2005-05-04,513
44616,2002-12-31,400
45016,2003-03-12,167
45183,2005-02-13,100
45283,2002-12-09,905
46188,2002-09-25,138
46326,2006-03-07,191
46517,2006-04-10,8
46525,2001-08-09,1060
47585,2003-03-15,119
47704,2005-02-14,162
47866,2003-04-02,786
48652,2005-05-03,47
48699,2001-10-02,296
48995,2002-11-11,1307
50302,2004-10-10,14
50316,2003-07-25,235
50551,2005-06-24,163
50714,2006-04-19,471
51185,2002-09-13,67
51252,2004-08-12,189
51441,2002-11-18,882
52323,2004-10-19,576
52899,2005-02-22,224
53123,2003-03-23,176
53299,2006-03-31,261
53560,2006-04-26,29
53589,2004-10-26,126
53715,2005-01-05,641
54356,2002-11-27,864
55220,2003-07-13,137
55357,2001-08-07,978
56335,2002-09-14,414
56749,2004-08-15,11
56760,2006-03-09,70
56830,2006-07-06,162
56992,2005-06-15,44
57036,2003-07-14,137
57173,2004-10-21,176
57349,2005-01-02,3
57352,2002-11-20,540
57892,2006-04-21,33
57925,2005-02-25,509
58434,2002-12-07,150
58584,2003-03-24,689
59273,2002-05-10,895
60168,2004-04-11,9
60177,2002-02-07,1092
61269,2004-03-06,177
61446,2003-08-08,126
61572,2005-09-09,417
61989,2002-01-20,986
62975,2003-10-03,188
63163,2005-11-02,5
63168,2001-07-24,823
63991,2004-07-09,19
64010,2002-06-08,459
64469,2001-07-23,501
64970,2002-01-27,647
65617,2003-10-04,784
66401,2002-06-30,425
66826,2004-07-31,98
66924,2004-03-01,604
67528,2005-12-22,13
67541,2002-05-17,461
68002,2004-04-16,749
68751,2002-01-18,909
69660,2004-04-29,121
69781,2002-05-28,537
70318,2003-08-30,492
70810,2002-01-11,1547
72357,2004-07-07,128
72485,2002-06-06,1118
73603,2005-12-14,2
73605,2004-04-20,625
74230,2002-05-21,970
75200,2003-08-06,450
75650,2005-09-07,43
75693,2002-02-09,923
76616,2006-08-14,18
76634,2004-03-08,448
77082,2004-04-27,281
77363,2002-05-26,231
77594,2004-03-30,1099
78693,2005-12-13,3
78696,2002-06-01,380
79076,2002-01-16,368
79444,2002-05-19,406
79850,2004-04-18,297
80147,2003-08-01,441
80588,2002-01-29,840
81428,2006-01-18,92
81520,2002-10-29,1235
82755,2004-11-28,25
82780,2006-05-28,7
82787,2002-08-22,199
82986,2004-09-23,832
83818,2004-11-17,334
84152,2002-10-16,922
85074,2003-06-22,84
85158,2006-01-27,192
85350,2001-11-05,2295
87645,2006-06-30,9
87654,2005-03-13,109
87763,2004-12-30,150
87913,2003-02-12,914
88827,2005-04-04,154
88981,2003-05-05,90
89071,2001-12-22,12
89083,2006-05-17,41
89124,2004-12-08,149
89273,2002-08-25,120
89393,2004-09-24,406
89799,2006-06-08,3
89802,2006-05-10,371
90173,2006-02-07,34
90207,2001-12-25,26
90233,2005-04-03,13
90246,2003-05-02,424
90670,2005-03-14,27
90697,2003-02-15,680
91377,2001-09-09,816
92193,2006-01-20,55
92248,2001-11-02,163
92411,2005-07-24,1
92412,2003-06-25,80
92492,2004-11-10,340
92832,2002-10-11,429
93261,2002-08-13,248
93509,2006-05-19,8
93517,2006-01-29,8
93525,2004-11-19,171
93696,2002-10-18,293
93989,2003-02-23,406
94395,2005-03-22,393
94788,2004-12-01,429
95217,2006-05-26,2
95219,2001-12-13,1846
97065,2003-06-13,431
97496,2005-07-12,47
97543,2003-01-04,347
97890,2002-10-27,318
98208,2004-11-26,197
98405,2006-06-01,4
98409,2006-01-16,161
98570,2001-09-07,1167
99737,2006-02-09,316
100053,2004-09-15,575
100628,2002-08-14,223
100851,2006-01-11,287
101138,2006-06-06,45
101183,2003-01-03,936
102119,2002-10-20,388
102507,2003-06-14,243
102750,2005-07-15,45
102795,2001-12-14,1183
103978,2003-02-24,659
104637,2005-03-25,228
104865,2004-12-06,101
104966,2004-02-06,438
105404,2003-12-24,32
105436,2002-03-07,483
105919,2004-05-11,75
105994,2002-04-10,878
106872,2005-08-09,121
106993,2003-09-08,249
107242,2005-10-02,23
107265,2004-01-21,143
107408,2003-11-03,654
108062,2006-09-25,52
108114,2002-07-08,756
108870,2004-06-09,1132
110002,2002-07-30,804
110806,2005-10-05,23
110829,2004-01-26,150
110979,2003-11-04,415
111394,2004-05-16,6
111400,2002-04-17,1113
112513,2004-02-01,435
112948,2003-12-23,215
113163,2004-01-19,62
113225,2006-09-22,203
113428,2002-04-28,230
113658,2004-05-29,2
113660,2003-09-30,284
113944,2005-08-31,44
113988,2002-07-06,82
114070,2004-06-07,1112
115182,2004-01-10,6
115188,2002-04-21,1277
116465,2004-05-20,162
116627,2003-12-15,592
117219,2005-08-07,46
117265,2003-09-06,172
117437,2006-09-14,329
117766,2002-03-09,461
118227,2003-12-12,587
118814,2002-03-31,996
119810,2002-04-26,762
120572,2004-05-27,447
121019,2004-01-17,35
121054,2002-07-01,1234
122288,2004-05-18,292
122580,2002-04-19,114
122694,2006-09-13,224
122918,2003-09-01,693
123611,2004-01-28,49
123660,2001-09-06,2494
126154,2006-02-08,3
126157,2004-09-14,367
126524,2002-08-15,173
126697,2001-12-15,842
127539,2003-02-25,473
128012,2004-12-07,268
128280,2005-03-24,531
128811,2006-06-07,23
